final_call_type,CARE,SPD,SPD/CARE Co-Response
HARBOR - ABANDONED PROPERTY,0.0,100.0,0.0
HARBOR - ASSIST BOATER (NON EMERG),0.0,100.0,0.0
HARBOR - BOAT ACCIDENT,0.0,100.0,0.0
HARBOR - BOATING UNDER THE INFLUENCE,0.0,100.0,0.0
HARBOR - BODY SEARCH/RECOVERY,0.0,100.0,0.0
"HARBOR - DEBRIS, NAVIGATIONAL HAZ",0.0,100.0,0.0
HARBOR - HARBOR CODE VIOLATION,0.0,100.0,0.0
HARBOR - MARINE FIRE,0.0,100.0,0.0
HARBOR - PERSON IN WATER,0.0,100.0,0.0
"HARBOR - VESSEL, ABANDONED",0.0,100.0,0.0
"HARBOR - VESSEL, RECOVERY (THEFT)",0.0,100.0,0.0
"HARBOR - VESSEL, THEFT",0.0,100.0,0.0
"HARBOR - VESSEL, THEFT AND RECOVERY",0.0,100.0,0.0
"HARBOR - WATER DEBRIS, NAVIGATIONAL HAZARDS",0.0,100.0,0.0
HARBOR - WATER EMERGENCIES,0.0,100.0,0.0
HARBOR - WATER NON-EMERGENCIES,0.0,100.0,0.0
HAZ - CRITICAL,0.0,100.0,0.0
HAZ - POTENTIAL THRT TO PHYS SAFETY,0.0,100.0,0.0
HAZARDS - HAZARDS,0.0,99.75918121613486,0.2408187838651415
HELP THE OFFICER,0.0,100.0,0.0
HELP THE OFFICER - HELP THE OFFICER (EMERGENCY),0.0,100.0,0.0
HELP THE OFFICER -ASSIST THE OFFICER (NON EMERG),0.0,100.0,0.0
HOMICIDE,0.0,96.96969696969697,3.0303030303030303
HOSPITAL GUARD ASSIGNMENT,0.0,100.0,0.0
ILLEGAL DUMPING,0.0,100.0,0.0
INFORMATIONAL BROADCASTS,0.0,100.0,0.0
INJURED -  PERSON/INDUSTRIAL ACCIDENT,0.0,100.0,0.0
INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),0.0,100.0,0.0
INTOX & LIQ VIOLS - INTOXICATED PERSON,0.0,99.88344988344988,0.11655011655011654
INTOX & LIQ VIOLS - MINORS (VIOLATIONS),0.0,100.0,0.0
JUVENILE - RUNAWAY,0.0,100.0,0.0
JUVENILE - RUNAWAY PICKUP,0.0,75.0,25.0
KIDNAP - CUSTODIAL INTERFERENCE,0.0,81.81818181818183,18.181818181818183
KIDNAP - GENERAL,0.0,100.0,0.0
"LEWD -  (EXPOSING, FLASHING)",0.0,100.0,0.0
LICENSE INSPECTIONS (CHECK FOR),0.0,100.0,0.0
LIQUOR VIOLATIONS - ADULT,0.0,100.0,0.0
LIQUOR VIOLATIONS - BUSINESS,0.0,100.0,0.0
LIQUOR VIOLATIONS - MINOR,0.0,100.0,0.0
LITTERING,0.0,100.0,0.0
MISC MISD AND VIOLS - PARKS EXCLUSION,0.0,100.0,0.0
MISC MISD AND VIOLS - RECKLESS ENDANGERMENT,0.0,100.0,0.0
MISCHIEF OR NUISANCE - GENERAL,0.0,99.55263157894737,0.4473684210526315
"MISSING - (ALZHEIMER, ENDANGERED, ELDERLY)",0.0,87.5,12.5
MISSING - ADULT,0.0,100.0,0.0
MISSING - CHILD,0.0,93.54838709677419,6.451612903225806
MVC - COLLISION (ALL),1.1049723756906076,98.89502762430939,0.0
MVC - HIT AND RUN,0.0,100.0,0.0
NARCOTICS - DRUG TRAFFIC LOITERING,0.0,99.79423868312757,0.205761316872428
NARCOTICS - FOUND,0.0,100.0,0.0
"NARCOTICS - FOUND , RECOVERED NARCOTICS",0.0,100.0,0.0
NARCOTICS - MARIJUANA PUBLIC USE(NOT DISPENSARY),0.0,100.0,0.0
NARCOTICS - NARCOTICS WARRANT SERVICE,0.0,100.0,0.0
NARCOTICS - NARS REPORT,0.0,99.04761904761905,0.9523809523809524
NARCOTICS - OTHER,0.0,99.5055945875618,0.4944054124381993
"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",0.0,100.0,0.0
NARCOTICS WARRANT SERVICE,0.0,100.0,0.0
NO ANSWER WHEN CALLED,0.0,100.0,0.0
NOISE - ANIMAL (INCLUDES BARKING DOGS),0.0,100.0,0.0
NOISE - GENERAL,0.0,100.0,0.0
NUISANCE,0.0,99.4475138121547,0.5524861878453038
OFF DUTY EMPLOYMENT,0.0,100.0,0.0
"OPEN - BUILDING, DOOR, ETC.",0.0,100.0,0.0
ORDER  - SERVICE OF DV COURT ORDER,0.0,100.0,0.0
ORDER - ASSIST DV VIC W/SRVC OF COURT ORDER,0.0,100.0,0.0
ORDER - CRITICAL VIOLATION OF DV COURT ORDER,0.0,100.0,0.0
